球隊,球員,平均正負值
Chicago Bulls,Nikola Vučević,-1.619718309859155
Chicago Bulls,Kevin Huerter,6.16
Chicago Bulls,Coby White,-2.1805555555555554
Chicago Bulls,Josh Giddey,-0.9714285714285714
Chicago Bulls,Matas Buzelis,-0.6025641025641025
