球隊,球員,平均正負值
Indiana Pacers,Myles Turner,2.8857142857142857
Indiana Pacers,Pascal Siakam,4.0
Indiana Pacers,Tyrese Haliburton,2.875
Indiana Pacers,Andrew Nembhard,3.2698412698412698
Indiana Pacers,Aaron Nesmith,4.767441860465116
