球隊,球員,平均正負值
Charlotte Hornets,Miles Bridges,-4.046875
Charlotte Hornets,LaMelo Ball,-2.765957446808511
Charlotte Hornets,Mark Williams,-6.488372093023256
Charlotte Hornets,Josh Green,-5.352941176470588
Charlotte Hornets,Brandon Miller,-4.592592592592593
