球隊,球員,平均正負值
Dallas Mavericks,Anthony Davis,-4.0
Dallas Mavericks,Klay Thompson,-1.1830985915492958
Dallas Mavericks,Dereck Lively II,2.6285714285714286
Dallas Mavericks,Max Christie,-2.4516129032258065
Dallas Mavericks,Kyrie Irving,2.48
