球隊,球員,平均正負值
Golden State Warriors,Stephen Curry,4.514705882352941
Golden State Warriors,Jimmy Butler III,5.857142857142857
Golden State Warriors,Buddy Hield,1.675
Golden State Warriors,Draymond Green,4.045454545454546
Golden State Warriors,Jonathan Kuminga,0.08695652173913043
