球隊,球員,平均正負值
Denver Nuggets,Nikola Jokić,8.073529411764707
Denver Nuggets,Michael Porter Jr.,3.3733333333333335
Denver Nuggets,Jamal Murray,4.630769230769231
Denver Nuggets,Christian Braun,5.662337662337662
Denver Nuggets,Aaron Gordon,5.551020408163265
