球隊,球員,平均正負值
Utah Jazz,Lauri Markkanen,-3.9574468085106385
Utah Jazz,Walker Kessler,-5.672413793103448
Utah Jazz,John Collins,-0.4
Utah Jazz,Isaiah Collier,-5.676056338028169
Utah Jazz,Collin Sexton,-4.5396825396825395
