球隊,球員,平均正負值
Philadelphia 76ers,Joel Embiid,-3.0
Philadelphia 76ers,Kelly Oubre Jr.,-4.3
Philadelphia 76ers,Tyrese Maxey,-2.3846153846153846
Philadelphia 76ers,Guerschon Yabusele,-1.6857142857142857
Philadelphia 76ers,Paul George,-2.024390243902439
