球隊,球員,平均正負值
Washington Wizards,Jordan Poole,-8.205882352941176
Washington Wizards,Alex Sarr,-8.153846153846153
Washington Wizards,Kyshawn George,-5.090909090909091
Washington Wizards,Corey Kispert,-4.491803278688525
Washington Wizards,Bub Carrington,-9.7
